Mini Stop,9946.T,NON,1575,100
Prenus,9945.T,NON,1550,100
Mos Food,8153.T,NON,1700,100
Zensho,7550.T,NON,1075,100
Kappa Create,7421.T,NON,1700,100
GMO,9449.T,NON,400,100
Matuya,9887.T,NON,1450,100
Kirin,2503.T,NON,1000,100
Nippun,2001.T,NON,420,1000
Uarrows,7606.T,NON,1500,100
Kyokuyo,1301.T,NON,210,1000
Miki,1718.T,NON,210,1000
Dotol,3087.T,NON,1150,100
Brother,6448.T,NON,1100,100
Kadokawa,9477.T,NON,2200,100
Brocoly,2706.T,NON,150,1000
Doshisha,7483.T,NON,1100,100
Big Camera,3048.T,NON,40500,1
JR,9020.T,NON,5500,100
Osho,9936.O,NON,2200,100
Ichibanya,7630.T,NON,3500,100
SegaSummy,6460.T,NON,1500,100
Marvelous,7844.T,NON,25000,1
Park24,4666.T,NON,1500,100
Square,9684.T,NON,950,100
joban,9675.T,NON,170,1000
yahoo,4689.T,NON,40000,1
JVC,6632.T,NON,240,100
Capcom,9697.T,NON,1400,100
Matuda,7261.T,NON,350,1000
Seven&i,3382.T,NON,3200,100
Source Next,4344.T,NON,400,100
Daisho,2816.T,NON,800,100
Index,4835.T,NON,1777,100
Casio,6952.T,NON,830,100
Naigai,8013.T,NON,55,1000
Sizeria,7581.T,NON,1275,100
Yamazen,8051.T,NON,560,100
DaiichiKosho,7458.T,NON,2250,100
Shinpo,5903.T,NON,250,100
